"userId","num.actions","action_bucket","num.movies","num.tv","perc.movies","name.length","num.liked","num.comments","num.dislikes","perc.liked","recently.active","days.inactive","liked","num.dislikes","num.comments","disliked","commented"
"shgoda",2,"med",2,0,1,6,2,0,0,1,"2008-11-11 05:48:56",1654,1,0,0,0,0
"brianhaddad",10,"med",10,0,1,11,10,0,0,1,"2008-10-29 04:50:46",1667,1,0,0,0,0
"Babs",8,"med",7,1,0.875,4,8,0,0,1,"2009-10-11 20:03:00",1320,1,0,0,0,0
"icemonkey",33,"power",29,4,0.878787878787879,9,31,1,1,0.939393939393939,"2009-12-01 16:26:42",1269,1,1,1,1,1
"Modwild",2,"med",2,0,1,7,2,0,0,1,"2008-12-21 00:33:56",1614,1,0,0,0,0
"droop",20,"med",20,0,1,5,20,0,0,1,"2008-11-13 18:48:43",1652,1,0,0,0,0
"mstrickland",2,"med",1,1,0.5,11,2,0,0,1,"2008-11-23 01:04:19",1642,1,0,0,0,0
"lindsayerika",1,"low",1,0,1,12,1,0,0,1,"2008-10-27 21:11:19",1669,1,0,0,0,0
"gmckay",3,"med",1,2,0.333333333333333,6,3,0,0,1,"2008-12-14 15:02:00",1621,1,0,0,0,0
"sippey",1,"low",1,0,1,6,1,0,0,1,"2008-10-28 16:47:31",1668,1,0,0,0,0
"ColinWood",6,"med",4,2,0.666666666666667,9,6,0,0,1,"2008-12-05 19:22:46",1630,1,0,0,0,0
"drrwinters",7,"med",3,4,0.428571428571429,10,7,0,0,1,"2008-11-03 01:29:49",1662,1,0,0,0,0
"babytata",2,"med",2,0,1,8,2,0,0,1,"2008-11-09 12:08:59",1656,1,0,0,0,0
"bigdogis",1,"low",1,0,1,8,1,0,0,1,"2008-10-30 11:41:37",1666,1,0,0,0,0
"tzvipinchaus",1,"low",1,0,1,12,1,0,0,1,"2008-11-07 22:10:22",1658,1,0,0,0,0
"tomrj",1,"low",1,0,1,5,1,0,0,1,"2008-11-07 22:10:22",1658,1,0,0,0,0
"gnaples",2,"med",2,0,1,7,2,0,0,1,"2008-11-08 00:40:32",1657,1,0,0,0,0
"euanmarop",1,"low",1,0,1,9,1,0,0,1,"2008-11-08 10:41:17",1657,1,0,0,0,0
"jk2007",21,"power",20,1,0.952380952380952,6,21,0,0,1,"2008-11-08 17:54:38",1657,1,0,0,0,0
"debjeetbarua",1,"low",1,0,1,12,1,0,0,1,"2008-11-08 15:38:31",1657,1,0,0,0,0
"kangaroosterus",1,"low",1,0,1,14,1,0,0,1,"2008-11-08 18:02:20",1657,1,0,0,0,0
"flacruzb1",3,"med",3,0,1,9,2,1,0,0.666666666666667,"2008-11-08 19:58:54",1657,1,0,1,0,1
"isaiahbarney",1,"low",1,0,1,12,1,0,0,1,"2008-11-08 19:48:17",1657,1,0,0,0,0
"MassInsomnia",1,"low",1,0,1,12,1,0,0,1,"2008-11-09 00:59:37",1656,1,0,0,0,0
"michelboutros",2,"med",1,1,0.5,13,2,0,0,1,"2008-11-09 18:25:03",1656,1,0,0,0,0
"JRMedia",1,"low",1,0,1,7,1,0,0,1,"2008-11-09 14:16:39",1656,1,0,0,0,0
"itschemistry",1,"low",1,0,1,12,1,0,0,1,"2008-11-09 22:36:38",1656,1,0,0,0,0
"Rimzim",1,"low",1,0,1,6,1,0,0,1,"2008-11-10 01:36:41",1655,1,0,0,0,0
"baloulegrosours",1,"low",1,0,1,15,1,0,0,1,"2008-11-10 06:36:41",1655,1,0,0,0,0
"areilly",5,"med",4,1,0.8,7,5,0,0,1,"2008-11-10 20:41:33",1655,1,0,0,0,0
"SteveFeld",1,"low",1,0,1,9,1,0,0,1,"2008-11-11 04:04:52",1654,1,0,0,0,0
"andrewgmiles",5,"med",4,1,0.8,12,4,1,0,0.8,"2008-11-30 21:53:36",1635,1,0,1,0,1
"Jabberwockey",1,"low",1,0,1,12,1,0,0,1,"2008-11-17 03:44:11",1648,1,0,0,0,0
"NYCBhoy",1,"low",1,0,1,7,1,0,0,1,"2008-11-18 01:28:15",1647,1,0,0,0,0
"djkouza",1,"low",1,0,1,7,1,0,0,1,"2008-11-18 14:51:27",1647,1,0,0,0,0
"tokerud",5,"med",1,4,0.2,7,5,0,0,1,"2008-11-20 04:31:50",1645,1,0,0,0,0
"scrappy_scrapola",2,"med",2,0,1,16,2,0,0,1,"2008-12-04 02:00:15",1631,1,0,0,0,0
"Sandy Bouvier-Ingram",1,"low",0,1,0,20,1,0,0,1,"2008-11-21 19:57:27",1644,1,0,0,0,0
"musicfreak24",9,"med",9,0,1,12,9,0,0,1,"2008-11-22 21:18:24",1643,1,0,0,0,0
